year,pa_code,pa_area,pa_cropland,pa_pctcrop,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
2024,1002,5603.45019597305,306.0444537050789,.054617144,407519.1228320301,366654.3357869387,40864.79703816772,407519.1228320301,366654.3357869387,40864.79703816772,75906.54423940182,32764.0260444954,43142.5201305151,38974.02912814915,0,38974.02912814915,68908.39520177245,0,68908.39520177245,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,333890.3038753867,333890.3038753867,0,34654.79396598041,32764.0260444954,1890.767921485007,.6670658,1,.42629564,,.40000001,,
1993,1004,9426.091858791,548.6938210725784,.058210108,890807,886978,3829,890807,886978,3829,71878.79998779297,71616,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71878.8,71616,262.7999877929688,890807,886978,3829,0,0,0,1,1,1,,,,
1994,1004,9426.091858791,548.6938210725784,.058210108,956535,953112,3423,956535,953112,3423,71878.79998779297,71616,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71878.8,71616,262.7999877929688,956535,953112,3423,0,0,0,1,1,1,,,,
1995,1004,9426.091858791,548.6938210725784,.058210108,1012115,1008867,3248,1012115,1008867,3248,71878.79998779297,71616,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71878.8,71616,262.7999877929688,1012115,1008867,3248,0,0,0,1,1,1,,,,
1996,1004,9426.091858791,548.6938210725784,.058210108,1108209,1104925,3284,1108209,1104925,3284,71878.79998779297,71616,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71878.8,71616,262.7999877929688,1108209,1104925,3284,0,0,0,1,1,1,,,,
1997,1004,9426.091858791,548.6938210725784,.058210108,1054458,1051495,2963,1054458,1051495,2963,71878.79998779297,71616,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71878.8,71616,262.7999877929688,1054458,1051495,2963,0,0,0,1,1,1,,,,
1998,1004,9426.091858791,548.6938210725784,.058210108,1062253,1059601,2652,1062253,1059601,2652,71878.79998779297,71616,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71878.8,71616,262.7999877929688,1062253,1059601,2652,0,0,0,1,1,1,,,,
1999,1004,9426.091858791,548.6938210725784,.058210108,1062546,1059834,2712,1062546,1059834,2712,71878.79998779297,71616,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71878.8,71616,262.7999877929688,1062546,1059834,2712,0,0,0,1,1,1,,,,
2000,1004,9426.091858791,548.6938210725784,.058210108,1091647,1089048,2599,1091647,1089048,2599,71878.79998779297,71616,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71878.8,71616,262.7999877929688,1091647,1089048,2599,0,0,0,1,1,1,,,,
2001,1004,9426.091858791,548.6938210725784,.058210108,1071284,1068435,2849,1071284,1068435,2849,71878.79998779297,71616,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71878.8,71616,262.7999877929688,1071284,1068435,2849,0,0,0,1,1,1,,,,
